0,Melissa,Sone,6216 Ash Ave,msone@gmail.com,368-478-3652,1935-03-15,AB-
0,Chris,Cole,5465 Cherry Ave,ccole@gmail.com,516-141-5165,1936-02-27,B+
0,Aspen,Holland,5447 Crew Ln,aholland@gmail.com,545-599-5465,1936-02-28,O-
0,Sia,Ai,8441 Rym Ave,sai@gmail.com,236-144-3655,2000-02-17,A-
0,Deanna,Riza,3654 Sierra Drive,driza@gmail.com,232-447-2622,1984-02-17,AB+
0,Ashely,Sky,3642 Create Ave,asky@gmail.com,178-266-1541,1935-06-07,B+
0,Kate,Free,1475 Lime Drive,kfree@gmail.com,654-575-3627,2013-09-28,A+
0,Morris,Hane,5423 Crow Drive,mhane@gmail.com,651-615-2683,1947-08-25,B-
0,Eli,Mac,2144 Cina Ave,emac@gmail.com,646-369-5683,1983-07-04,AB+
0,Ron,Ali,9883 River Road,rali@gmail.com,545-652-3253,2013-11-06,B-
0,Eli,Cole,2531 Green Road,ecole@gmail.com,215-468-6486,1954-06-18,A+
0,Alice,Holland,545 Purple Ave,aholl@gmail.com,531-686-1516,1925-04-07,O-
0,Tim,Hane,5427 River Road,thane@gmail.com,648-165-3202,1990-02-05,B+
0,Holly ,Mac,2465 Step Road,hmac@gmail.com,212-032-0124,2005-03-31,A-
0,Sam,George,545 Red Ave,sgeorge@gmail.com,545-2625-5486,1955-03-05,AB+
0,Holly,Asher,5427 Ocean Road,hasher@gmail.com,313-658-8341,1990-02-05,B-
0,Hal,Kim,2465 Lora Road,hkim@gmail.com,545-4747-3665,2000-03-31,AB-
0,Lina,Krane,2343 Sona Drive,lkrane@gmail.com,546-6848-3543,1958-06-08,O+
0,Eliza,Car,5752 Rial Drive,ecar@gmail.com,87-745-4375,2000-12-03,O-
0,Ren,Shu,2543 Sona Road,rshu@gmail.com,522-656-4781,1936-12-20,A+
