0,Alice,Smith,3232 Apple Ave,asmith@gmail.com,251-365-1472,1935-12-04,B-
0,Tim,Rogers,6646 Alen Ave,trogers@gmail.com,486-647-2365,1942-03-09,O-
0,Divina,Gorospe,5346 Blue Ave,dgorospe@gmail.com,321-351-3547,1963-08-02,A-
0,Raul,Cordero,2130 Spring Ave,rcordero@gmail.com,265-175-1656,1999-04-08,AB+
0,Purva,Chandel,9862 Rainbow Drive,pchandel@gmail.com,977-148-2615,1985-07-14,O+
0,Richard,Daniel,4684 Cole Ave,rdaniel@gmail.com,516-898-5258,1999-06-18,A+
0,Rachel,Mane,6468 6th Ave,rmane@gmail.com,316-687-3158,1999-04-07,O-
0,Holly,Asher,5427 River Road,hasher@gmail.com,313-658-8341,1990-02-05,A+
0,Hal,Kim,2465 Green Road,hkim@gmail.com,545-4747-3665,1999-03-31,AB-
0,Lina,Krane,2343 Sona Drive,lkrane@gmail.com,546-6848-3543,1958-06-08,O+
0,Eliza,Car,5752 Rial Drive,ecar@gmail.com,87-745-4375,2000-05-03,B-
0,Ren,Shu,2543 Sona Road,rshu@gmail.com,522-656-4781,1936-12-20,O-
0,Serena,Lon,3453 Lora Ln,slon@gmail.com,257-3325-5752,1935-11-01,A-
0,Edgar,Bana,8686 Sear Dr,ebana@gmail.com,363-986-4773,1957-03-25,AB+
0,Ethan ,Roy,4505 Square Road,eroy@gmail.com,578-957-1240,1957-04-17,O+
0,Sera,Han,4254 Smite Ln,shan@gmail.com,254-587-54216,2000-05-03,A+
0,Stu,Grain,2725 Len Drive,sgrain@gmail.com,542-686-0215,1958-05-18,O-
0,Ryan,Stanly,2355 Rio Ln,rstanley@gmail.com,259-782-4534,1965-08-05,A+
0,Lucy,Bian,2342 Star Ave,lbian@gmail.com,687-254-7876,1954-09-17,AB-
0,Stella,Roo,5684 Moon Drive,sroo@gmail.com,254-6822-4522,1932-08-18,O+
