0,Melissa,Smith,3362 Create Ave,msmith@gmail.com,316-659-1475,1935-12-04
0,Deanna,Mane,1423 Lime Drive,dmane@gmail.com,154-477-3255,1942-03-09
0,Ashely,Asher,1553 Crow Drive,aasher@gmail.com,247-878-4876,1963-08-02
0,Kate,Kim,2574 Cina Ave,kkim@gmail.com,568-474-2632,1963-08-03
0,Morris,Sone,3362 Apple Ave,msone@gmail.com,443-151-4843,1985-07-14
0,Eli,Cole,2667 Alen Ave,ecole@gmail.com,215-468-6486,1954-06-18
0,Alice,Holland,3254 6th Ave,aholland@gmail.com,531-686-1516,1925-04-07
0,Tim,Hane,9883 River Road,thane@gmail.com,648-165-3202,1990-02-05
0,Holly ,Mac,2531 Green Road,hmac@gmail.com,212-032-0124,1990-02-06
0,Sam,George,545 Red Ave,sgeorge@gmail.com,545-2625-5486,1955-03-05
0,Crea,Snow,2342 Gen Drive,csnow@gmail.com,827-682-2417,1954-02-15
0,Maya,Stein,4564 Realgar Ln,mstein@gmail.com,178-684-2452,1965-06-25
0,Reno,Jal,3562 Free Drive,rjal@gmail.com,148-368-2872,1935-12-21
0,Max,Rain,2326 Gray Ln,mrain@gmail.com,436-5483-1752,1946-01-09
0,Shea,Lia,9890 Brian Grove,slia@gmail.com,257-587-2536,1968-07-30
0,Horatio,Mayor,3452 Linden St,hmayor@gmail.com,456-522-5822,1934-08-15
0,Laura,Grove,3567 Nat St,lgrove@gmail.com,259-367-3527,1987-06-05
0,Roy,Het,7542 Lemon Ave,rhet@gmail.com,428-582-6843,1987-09-23
0,Rick,Stoy,3441 Main Ave,rstoy@gmail.com,424-368-6893,1932-10-19
0,Ella,Graham,245 Cora Ln,egraham@gmail.com,428-654-2007,1968-04-02
